n,certified_lower_bound,rigorous_upper_witness,interval_width,source_count,minimum_source_separation,symmetry_or_family,all_local_minima_count,spectral_splits,spectral_maximum_depth,componentwise_splits,componentwise_maximum_depth,submitted_lower_bound,external_status,configuration_path,spectral_verifier_path,componentwise_verifier_path,full_replay_status,notes
7,35.9098,35.90989421275111691174209144636219718107963706617253636521464259955599,0.00009421275111691174209144636219718107963706617253636521464259955599,7,0.3379011191887602909771784824649666395177403629374731720096303804387905397607264398492535845616479717,reflection x -> 1-x,10,499,23,489,22,35.9098,EMAIL_SUBMITTED,data/configurations/n07/coordinates.csv,certifiers/n07/spectral.py,certifiers/n07/componentwise.py,CERTIFIED,CERTIFIED_FIXED_CONFIGURATION_EXCEEDS_DISPLAYED_FIGURE
8,47.8390,47.83910647844590952575099945479720352076697462477898666567915612063996,0.00010647844590952575099945479720352076697462477898666567915612063996,8,0.3829089356417276788976225413115465128564290837985984934612463715810541345564700114370572352063799551,full square D4,13,647,24,623,23,47.8390,EMAIL_SUBMITTED,data/configurations/n08/coordinates.csv,certifiers/n08/spectral.py,certifiers/n08/componentwise.py,CERTIFIED,CERTIFIED_FIXED_CONFIGURATION_EXCEEDS_DISPLAYED_FIGURE
10,62.4087,62.40874151529198443342244194821838213311808889840007237075239330752118,0.00004151529198443342244194821838213311808889840007237075239330752118,10,0.00100000000000000,reflection x -> 1-x; all points distinct; closest pair separated by 0.001,16,1381,26,1371,26,62.4087,EMAIL_SUBMITTED,data/configurations/n10/coordinates.csv,certifiers/n10/spectral.py,certifiers/n10/componentwise.py,CERTIFIED,CERTIFIED_FIXED_CONFIGURATION_EXCEEDS_DISPLAYED_FIGURE
11,74.3527,74.35275339387869684569821099896933998367996268135603936013401889815678,0.00005339387869684569821099896933998367996268135603936013401889815678,11,0.2896202909704420988758815344874469385033707655878306862144951113033125977156168005951751487918353709,reflections x -> 1-x and y -> 1-y,18,1375,26,1271,25,74.3527,EMAIL_SUBMITTED,data/configurations/n11/coordinates.csv,certifiers/n11/spectral.py,certifiers/n11/componentwise.py,CERTIFIED,CERTIFIED_FIXED_CONFIGURATION_EXCEEDS_DISPLAYED_FIGURE
12,83.57159574,83.571595749398494972243222662438008021569476042478439487579559077993618708584107,0.000000009398494972243222662438008021569476042478439487579559077993618708584107,12,0.2487931811220751659404167468713980047335743735411566318133285945612528371311206451546836824649083996,none imposed; fully asymmetric fixed configuration,,2059,38,1833,37,83.57159574,EMAIL_SUBMITTED,data/configurations/n12/coordinates.csv,certifiers/n12/spectral.py,certifiers/n12/componentwise.py,CERTIFIED,CERTIFIED_FIXED_CONFIGURATION_EXCEEDS_DISPLAYED_FIGURE
14,106.1907263,106.190726432589839664788216616613091270446957034236337769914698824603586272000349718018417,0.000000132589839664788216616613091270446957034236337769914698824603586272000349718018417,14,0.21563324958867536,,24,2643,35,2215,35,106.1907263,DIRECT_OFFICIAL_LISTING_CONFIRMED; EMAIL_SUBMITTED,data/configurations/n14/coordinates.csv,certifiers/n14/spectral.py,certifiers/n14/componentwise.py,CERTIFIED,RETAINED_CERTIFIED_FIXED_CONFIGURATION
15,115.1635457,115.163545738140865425310886989792958990774562099421856468660672334475379483037735242850052,0.000000038140865425310886989792958990774562099421856468660672334475379483037735242850052,15,0.2610378046273534777923080659401956398751996687311502998214177037600820167902571733225619681729865699,provenance: left-right reflective family; the published finite decimals have no exact non-identity square symmetry,25,3645,38,2941,37,113.19143,DIRECT_OFFICIAL_LISTING_CONFIRMED; EMAIL_SUBMITTED,data/configurations/n15/coordinates.csv,certifiers/n15/spectral.py,certifiers/n15/componentwise.py,CERTIFIED,IMPROVED_CERTIFIED_FIXED_CONFIGURATION
16,125.4580973,125.4580973509497070421543882789185178878418880453026583247201051360930,0.0000000509497070421543882789185178878418880453026583247201051360930,16,0.2104088772371703657791046958695040804001518496748139362854200762321522648420999791371658488873978551,provenance: retained verifier; the published finite decimals are exactly invariant under x -> 1-x and y -> 1-y and 180-degree rotation but not under diagonal reflections or 90-degree rotations,26,3263,37,2695,36,125.4580973,EMAIL_SUBMITTED,data/configurations/n16/coordinates.csv,certifiers/n16/spectral.py,certifiers/n16/componentwise.py,CERTIFIED,RETAINED_NO_IMPROVEMENT_FOUND
17,134.8597,134.8597316325459898074680486682697058008094274452829125609696389609013,0.0000316325459898074680486682697058008094274452829125609696389609013,17,0.1973397780026910379243610990000446091208661250390181160003338994242092116524062930022887203010567622,none/full square,26,2119,27,1995,27,133.9074427,EMAIL_SUBMITTED,data/configurations/n17/coordinates.csv,certifiers/n17/spectral.py,certifiers/n17/componentwise.py,CERTIFIED,IMPROVED_FULLY_ASYMMETRIC
18,147.3404,147.3404290637407826582944090544740390291630269181014741302042218693485,0.0000290637407826582944090544740390291630269181014741302042218693485,18,0.2183328195059586972988239977069525903167649237367855285786487733375180015095599497395501979270245376,D2 quarter-square,27,541,25,533,25,141.5565348,EMAIL_SUBMITTED,data/configurations/n18/coordinates.csv,certifiers/n18/spectral.py,certifiers/n18/componentwise.py,CERTIFIED,IMPROVED_D2_SYMMETRIC
