n,method,repo_relative_script,script_sha256,return_code,timed_out,elapsed_seconds,status,splits,maximum_depth,minimum_leaf_lower_bound,stdout_log,stderr_log
7,componentwise,certifiers/n07/componentwise.py,dfd437049e78668b0a305a5513e678627d16d2f6cd53e041c51c8c77b7902554,0,False,1.654238,CERTIFIED,489,22,,logs/n07_componentwise.stdout.txt,logs/n07_componentwise.stderr.txt
7,spectral,certifiers/n07/spectral.py,10faf8c795c856ab07448d251a91a004d9a6f15c571e1c9aec6824bfd31807ee,0,False,0.938998,CERTIFIED,499,23,,logs/n07_spectral.stdout.txt,logs/n07_spectral.stderr.txt
8,componentwise,certifiers/n08/componentwise.py,20995594c77a4bbcf4a66772555c3ca44103bee61b3753ea3b906b2ba744e044,0,False,2.098756,CERTIFIED,623,23,,logs/n08_componentwise.stdout.txt,logs/n08_componentwise.stderr.txt
8,spectral,certifiers/n08/spectral.py,954e617b47dc6b16f66897d53b66c81c0ce6c53146d92d494a4d8a8322a0a952,0,False,1.210009,CERTIFIED,647,24,,logs/n08_spectral.stdout.txt,logs/n08_spectral.stderr.txt
10,componentwise,certifiers/n10/componentwise.py,13a48d75f20dc66758d0d63ef5725e92394a2e2ffd2f73235c4345f6db72c97f,0,False,5.128281,CERTIFIED,1371,26,,logs/n10_componentwise.stdout.txt,logs/n10_componentwise.stderr.txt
10,spectral,certifiers/n10/spectral.py,0c57b091ee3d9322acbb8b464694b465bce45527a9f1dc8e0ebb37fd3f9ae5c6,0,False,2.323239,CERTIFIED,1381,26,,logs/n10_spectral.stdout.txt,logs/n10_spectral.stderr.txt
11,componentwise,certifiers/n11/componentwise.py,73d1f99a5bfa17bec7988c1c7b6a1ac9ec698fa4fd2b7a52829777c9761a9f60,0,False,5.119129,CERTIFIED,1271,25,,logs/n11_componentwise.stdout.txt,logs/n11_componentwise.stderr.txt
11,spectral,certifiers/n11/spectral.py,83201cac7874898ff938f116962ff8d8b8ef65a1e092c71801d4083137d23a8a,0,False,2.447613,CERTIFIED,1375,26,,logs/n11_spectral.stdout.txt,logs/n11_spectral.stderr.txt
12,componentwise,certifiers/n12/componentwise.py,55d605d44343bbee0f46b994b03e21ef72d2fdd5ec927775f27556559fd11906,0,False,15.383951,CERTIFIED,1833,37,,logs/n12_componentwise.stdout.txt,logs/n12_componentwise.stderr.txt
12,spectral,certifiers/n12/spectral.py,97f778c36c9250d7e55161c4c73ffbcdacb530ee289cbc9a1e3ecd4111567298,0,False,4.046686,CERTIFIED,2059,38,,logs/n12_spectral.stdout.txt,logs/n12_spectral.stderr.txt
14,componentwise,certifiers/n14/componentwise.py,ff49ba3cf5f6868306fc8debb29bdf69baa0a8eb6e16183d2c53fdc97504527f,0,False,32.836845,CERTIFIED,2215,35,,logs/n14_componentwise.stdout.txt,logs/n14_componentwise.stderr.txt
14,spectral,certifiers/n14/spectral.py,426efc8cd7e303bfb03cbe47bcdcef76cbd9ad770afa02cb125d0243e71a3773,0,False,11.342895,CERTIFIED,2643,35,,logs/n14_spectral.stdout.txt,logs/n14_spectral.stderr.txt
